Codigo;Nome;Unidade;Periodo;Inicio;Ultimo;Fonte;Especial
556;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Capital de giro;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
560;Operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Capital de giro - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
561;Operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Capital de giro - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
562;Operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Capital de giro - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
563;Operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Capital de giro - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
569;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (base em índices de preços) - Capital de giro;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
572;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
573;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
574;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
575;Operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
581;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pré-fixada) - Conta garantida;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
583;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
584;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
585;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
586;Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
592;Prazo médio das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Conta garantida;Dias;M;31/05/2000;01/12/2012;Sisbacen PESP300;N
595;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Conta garantida - Saldo sem atraso;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
596;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Conta garantida - Saldo com atraso de 15 a 30 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
597;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Conta garantida - Saldo com atraso de 31 a 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
598;Operações de crédito com recursos livres referenciais para taxa de juros (flutuante) - Conta garantida - Saldo com atraso maior que 90 dias;u.m.c. (mil);M;31/05/2000;01/12/2012;Sisbacen PESP300;N
